,Date,X,GROSS WTR
129,2019-07-30,140.62999999999997,FORAKER 1207 2UMH-11
130,2019-07-31,72.25999999999998,FORAKER 1207 2UMH-11
131,2019-08-01,159.61000000000004,FORAKER 1207 2UMH-11
132,2019-08-02,145.74,FORAKER 1207 2UMH-11
133,2019-08-03,299.41,FORAKER 1207 2UMH-11
134,2019-08-04,274.26,FORAKER 1207 2UMH-11
135,2019-08-05,169.26999999999992,FORAKER 1207 2UMH-11
136,2019-08-06,271.95,FORAKER 1207 2UMH-11
137,2019-08-07,332.98,FORAKER 1207 2UMH-11
138,2019-08-08,331.59,FORAKER 1207 2UMH-11
139,2019-08-09,309.92,FORAKER 1207 2UMH-11
140,2019-08-10,220.73,FORAKER 1207 2UMH-11
141,2019-08-11,209.64,FORAKER 1207 2UMH-11
142,2019-08-12,216.65,FORAKER 1207 2UMH-11
143,2019-08-13,226.89,FORAKER 1207 2UMH-11
144,2019-08-14,210.28,FORAKER 1207 2UMH-11
145,2019-08-15,225.46,FORAKER 1207 2UMH-11
146,2019-08-16,245.69,FORAKER 1207 2UMH-11
147,2019-08-17,269.5,FORAKER 1207 2UMH-11
148,2019-08-18,282.44,FORAKER 1207 2UMH-11
149,2019-08-19,247.59,FORAKER 1207 2UMH-11
150,2019-08-20,274.91,FORAKER 1207 2UMH-11
151,2019-08-21,300.56,FORAKER 1207 2UMH-11
152,2019-08-22,274.78,FORAKER 1207 2UMH-11
153,2019-08-23,270.74,FORAKER 1207 2UMH-11
154,2019-08-24,213.65,FORAKER 1207 2UMH-11
155,2019-08-25,196.23,FORAKER 1207 2UMH-11
156,2019-08-26,186.65,FORAKER 1207 2UMH-11
157,2019-08-27,184.64,FORAKER 1207 2UMH-11
158,2019-08-28,179.73,FORAKER 1207 2UMH-11
159,2019-08-29,179.95,FORAKER 1207 2UMH-11
160,2019-08-30,186.59,FORAKER 1207 2UMH-11
161,2019-08-31,203.17,FORAKER 1207 2UMH-11
162,2019-09-01,194.64,FORAKER 1207 2UMH-11
163,2019-09-02,194.43,FORAKER 1207 2UMH-11
164,2019-09-03,186.83,FORAKER 1207 2UMH-11
165,2019-09-04,207.86,FORAKER 1207 2UMH-11
166,2019-09-05,,FORAKER 1207 2UMH-11
167,2019-09-06,,FORAKER 1207 2UMH-11
168,2019-09-07,,FORAKER 1207 2UMH-11
169,2019-09-08,,FORAKER 1207 2UMH-11
170,2019-09-09,,FORAKER 1207 2UMH-11
171,2019-09-10,,FORAKER 1207 2UMH-11
172,2019-09-11,,FORAKER 1207 2UMH-11
173,2019-09-12,,FORAKER 1207 2UMH-11
174,2019-09-13,,FORAKER 1207 2UMH-11
175,2019-09-14,,FORAKER 1207 2UMH-11
176,2019-09-15,,FORAKER 1207 2UMH-11
177,2019-09-16,,FORAKER 1207 2UMH-11
178,2019-09-17,,FORAKER 1207 2UMH-11
179,2019-09-18,,FORAKER 1207 2UMH-11
180,2019-09-19,,FORAKER 1207 2UMH-11
181,2019-09-20,,FORAKER 1207 2UMH-11
182,2019-09-21,,FORAKER 1207 2UMH-11
183,2019-09-22,,FORAKER 1207 2UMH-11
184,2019-09-23,,FORAKER 1207 2UMH-11
0,2019-03-23,,FORAKER 1207 3WH-11
1,2019-03-24,,FORAKER 1207 3WH-11
2,2019-03-25,,FORAKER 1207 3WH-11
3,2019-03-26,1368.66,FORAKER 1207 3WH-11
4,2019-03-27,3046.4100000000008,FORAKER 1207 3WH-11
5,2019-03-28,2744.6690000000003,FORAKER 1207 3WH-11
6,2019-03-29,2457.074,FORAKER 1207 3WH-11
7,2019-03-30,2297.918,FORAKER 1207 3WH-11
